
headers={'usertoken':'b9d390d549f4642b793125cbf24e319e-1738387965-20253-24522-api.live.vod.dvr.static.apk','user-agent':'Lavf/58.12.100','userid':'24522'}

Sky-體育sports,#genre#
CNBC,https://no1x2.asiaw.top/live/cjz1uzv2/92639b6ad5/index.m3u8
CNBC World,https://no1x2.asiaw.top/live/cjz1uzv2/b61dc92d84/index.m3u8
CNN,https://no1x2.asiaw.top/live/cjz1uzv2/6ce0364260/index.m3u8
Cooking Channel,https://no1x2.asiaw.top/live/cjz1uzv2/e262a2082e/index.m3u8
Cinemax East,https://no1x2.asiaw.top/live/cjz2uzv1//index.m3u8
Discovery Channel,https://no1x2.asiaw.top/live/cjz1uzv2/ae177d7b50/index.m3u8
Discovery Family,https://no1x2.asiaw.top/live/cjz1uzv2/4571cb01e2/index.m3u8
Discovery Life,https://no1x2.asiaw.top/live/cjz1uzv2/533d3b00d7/index.m3u8
Discovery Science,https://no1x2.asiaw.top/live/cjz1uzv2/2bfef8fc5a/index.m3u8
Discovery Velocity,https://no1x2.asiaw.top/live/cjz1uzv2/6bb38f3c0c/index.m3u8
Disney Channel,https://no1x2.asiaw.top/live/cjz1uzv2/0e16bbc60b/index.m3u8
DISNEY JR HD,https://no1x2.asiaw.top/live/cjz1uzv2/693c09fb3c/index.m3u8
Disney XD,https://no1x2.asiaw.top/live/cjz1uzv2/f3d9b68d79/index.m3u8
ESPN,https://no1x2.asiaw.top/live/cjz1uzv2/9be86fd709/index.m3u8
ESPN 2,https://no1x2.asiaw.top/live/cjz1uzv2/6cd2cb7cbf/index.m3u8
ESPN U,https://no1x2.asiaw.top/live/cjz1uzv2/9ba38ca2c6/index.m3u8
Eleven Sports HD,https://no1x2.asiaw.top/live/cjz1uzv2/fbff862406/index.m3u8
FOX News,https://no1x2.asiaw.top/live/cjz1uzv2/29185598b6/index.m3u8
Fox Sports 1,https://no1x2.asiaw.top/live/cjz1uzv2/cd0b8f6d63/index.m3u8
Fox Sports 2,https://no1x2.asiaw.top/live/cjz1uzv2/266f784742/index.m3u8
FOX Sports Prime Ticket,https://no1x2.asiaw.top/live/cjz1uzv2/fc3b913149/index.m3u8
Fight Network,https://no1x2.asiaw.top/live/cjz2uzv1/fcff8cde39/index.m3u8
Freeform,https://no1x2.asiaw.top/live/cjz1uzv2/bef745afbf/index.m3u8
FOX Boston,https://no1x2.asiaw.top/live/cjz1uzv2/1275930766/index.m3u8
FOX Chicago,https://no1x2.asiaw.top/live/cjz1uzv2/9347ee7ae4/index.m3u8
FOX San Diego,https://no1x2.asiaw.top/live/cjz1uzv2/1bd7dc26e0/index.m3u8
FOX San Francisco,https://no1x2.asiaw.top/live/cjz1uzv2/41df271021/index.m3u8
FOX New York,https://no1x2.asiaw.top/live/cjz1uzv2/b00cca64a4/index.m3u8
Food Network,https://no1x2.asiaw.top/live/cjz1uzv2/afebedd35e/index.m3u8
FIs For Family,https://no1x2.asiaw.top/live/cjz1uzv2/f35c3f79e0/index.m3u8
Fancy Nancy,https://no1x2.asiaw.top/live/cjz1uzv2/db0e125da7/index.m3u8
Gol TV,https://no1x2.asiaw.top/live/cjz1uzv2/ce193be565/index.m3u8
HGTV,https://no1x2.asiaw.top/live/cjz1uzv2/6cea362e3d/index.m3u8
HISTORY HD,https://no1x2.asiaw.top/live/cjz1uzv2/102c147443/index.m3u8
HBO,https://no1x2.asiaw.top/live/cjz1uzv2/d8fd7a6e7e/index.m3u8
HBO 2,https://no1x2.asiaw.top/live/cjz1uzv2/c5cf278863/index.m3u8
HBO COMEDY,https://no1x2.asiaw.top/live/cjz1uzv2/8ab4a25c3e/index.m3u8
HBO Family,https://no1x2.asiaw.top/live/cjz1uzv2/33f258c369/index.m3u8
HBO Pacific,https://no1x2.asiaw.top/live/cjz1uzv2/b378f9e289/index.m3u8
HBO SIGNATURE,https://no1x2.asiaw.top/live/cjz1uzv2/dcddafe47c/index.m3u8
HLN,https://no1x2.asiaw.top/live/cjz1uzv2/b89701f05f/index.m3u8
Nat Geo,https://no1x2.asiaw.top/live/cjz1uzv2/08cf3dd76b/index.m3u8
Nat Geo Wild,https://no1x2.asiaw.top/live/cjz1uzv2/8200bd312e/index.m3u8
Nat Geo Mundo,https://no1x2.asiaw.top/live/cjz1uzv2/9ee4e69466/index.m3u8
NBCSN,https://no1x2.asiaw.top/live/cjz1uzv2/372d64289e/index.m3u8
NBA TV,https://no1x2.asiaw.top/live/cjz1uzv2/642fc0f827/index.m3u8
NFL Now,https://no1x2.asiaw.top/live/cjz1uzv2/c999d4d641/index.m3u8
NFL Network,https://no1x2.asiaw.top/live/cjz1uzv2/491dc43438/index.m3u8
MSNBC,https://no1x2.asiaw.top/live/cjz1uzv2/1393bea741/index.m3u8
MTV HD,https://no1x2.asiaw.top/live/cjz1uzv2/141cef03d1/index.m3u8
MTV LIVE HD,https://no1x2.asiaw.top/live/cjz1uzv2/c87963cf51/index.m3u8
MSG HD,https://no1x2.asiaw.top/live/cjz1uzv2/d3ee4f85d9/index.m3u8
MSG 2 HD,https://no1x2.asiaw.top/live/cjz1uzv2/61a1a97e5d/index.m3u8
OUTDOOR,https://no1x2.asiaw.top/live/cjz1uzv2/ec7d71e8c9/index.m3u8
SYFY,https://no1x2.asiaw.top/live/cjz1uzv2/adda9acdb8/index.m3u8
TBS,https://no1x2.asiaw.top/live/cjz1uzv2/285e786c69/index.m3u8
The Weather Channel,https://no1x2.asiaw.top/live/cjz1uzv2/c42c5fe860/index.m3u8
Tennis Channel,https://no1x2.asiaw.top/live/cjz1uzv2/ee3cff0a28/index.m3u8
Tennis Plus 1,https://no1x2.asiaw.top/live/cjz1uzv2/2ad15ae1ce/index.m3u8
Tennis Plus 2,https://no1x2.asiaw.top/live/cjz1uzv2/733911afb4/index.m3u8
Tennis Plus 3,https://no1x2.asiaw.top/live/cjz1uzv2/ebf066230a/index.m3u8
TCM,https://no1x2.asiaw.top/live/cjz1uzv2/c86b911d9d/index.m3u8
TNT HD,https://no1x2.asiaw.top/live/cjz1uzv2/99f0228e90/index.m3u8
Travel,https://no1x2.asiaw.top/live/cjz1uzv2/f1f611bb5a/index.m3u8
WWE FHD,https://no1x2.asiaw.top/live/cjz1uzv2/da5ad83204/index.m3u8
Sky-加拿大Canada,#genre#
新時代多倫多,https://no1x2.asiaw.top/live/t6u5b1q4/81636a3e/index.m3u8
新時代2,https://no1x2.asiaw.top/live/cjz1uzv2/40e8083fd4/index.m3u8
新時代溫哥華,https://no1x2.asiaw.top/live/t6u5b1q4/e95974c9/index.m3u8
600 News,https://no1x2.asiaw.top/live/cjz1uzv2/9c0ab48fbc/index.m3u8
CP24,https://no1x2.asiaw.top/live/cjz1uzv2/b5c1996d7e/index.m3u8
CBCNEWS,https://no1x2.asiaw.top/live/t6u5b1q4/e5bf9322/index.m3u8
HBOCA,https://no1x2.asiaw.top/live/t6u5b1q4/92d18db9/index.m3u8
TNT WEST,https://no1x2.asiaw.top/live/t6u5b1q4/c4251e61/index.m3u8
CBS SPORTS,https://no1x2.asiaw.top/live/t6u5b1q4/6cf6f03a/index.m3u8
TNT,https://no1x2.asiaw.top/live/t6u5b1q4/1ce79cf4/index.m3u8
TSN1,https://no1x2.asiaw.top/live/t6u5b1q4/0757cc4d/index.m3u8
TSN2,https://no1x2.asiaw.top/live/t6u5b1q4/edf86d1a/index.m3u8
OMNI 1,https://no1x2.asiaw.top/live/t6u5b1q4/39b01453/index.m3u8
OMNI 2,https://no1x2.asiaw.top/live/t6u5b1q4/a69eef3c/index.m3u8
CHCH,https://no1x2.asiaw.top/live/t6u5b1q4/5895b4d8/index.m3u8
CTV 2,https://no1x2.asiaw.top/live/t6u5b1q4/bc30fbc2/index.m3u8
CTV News,https://no1x2.asiaw.top/live/t6u5b1q4/618ab625/index.m3u8
SportNet EAST,https://no1x2.asiaw.top/live/t6u5b1q4/f38c6054/index.m3u8
SportNet PACIFIC,https://no1x2.asiaw.top/live/t6u5b1q4/7f4158f7/index.m3u8
SportNet WEST,https://no1x2.asiaw.top/live/t6u5b1q4/8e05df31/index.m3u8
SportNet Ontario,https://no1x2.asiaw.top/live/t6u5b1q4/78775607/index.m3u8
SportNet One,https://no1x2.asiaw.top/live/t6u5b1q4/20dce16c/index.m3u8
SportNet World,https://no1x2.asiaw.top/live/t6u5b1q4/e5bf9321/index.m3u8
TSN3,https://no1x2.asiaw.top/live/t6u5b1q4/eb606303/index.m3u8
DISNEY JR,https://no1x2.asiaw.top/live/t6u5b1q4/c4251e62/index.m3u8
TSN4,https://no1x2.asiaw.top/live/t6u5b1q4/2cad0173/index.m3u8
TSN5,https://no1x2.asiaw.top/live/t6u5b1q4/6cf6f04a/index.m3u8
HBOCA2,https://no1x2.asiaw.top/live/t6u5b1q4/1ce79cf5/index.m3u8
CTV,https://no1x2.asiaw.top/live/t6u5b1q4/0757cc3d/index.m3u8
SPACE,https://no1x2.asiaw.top/live/t6u5b1q4/afb9be2a/index.m3u8
Documentary,https://no1x2.asiaw.top/live/t6u5b1q4/a69eef2c/index.m3u8
SportNet 360,https://no1x2.asiaw.top/live/t6u5b1q4/5895b4d7/index.m3u8
NBA Canada,https://no1x2.asiaw.top/live/t6u5b1q4/519b9812/index.m3u8
NHL Network,https://no1x2.asiaw.top/live/t6u5b1q4/618ab626/index.m3u8
NFL Network,https://no1x2.asiaw.top/live/t6u5b1q4/f38c6064/index.m3u8
WWE,https://no1x2.asiaw.top/live/t6u5b1q4/7f4159f7/index.m3u8
Disney,https://no1x2.asiaw.top/live/t6u5b1q4/8e05df32/index.m3u8
TreeHouse,https://no1x2.asiaw.top/live/t6u5b1q4/230bd122/index.m3u8
TLC Canada,https://no1x2.asiaw.top/live/t6u5b1q4/444dcd9c/index.m3u8
ESPN 2,https://no1x2.asiaw.top/live/t6u5b1q4/7a8bfcc3/index.m3u8
Discovery Canada,https://no1x2.asiaw.top/live/t6u5b1q4/7b4173c4/index.m3u8
Discovery Velocity,https://no1x2.asiaw.top/live/t6u5b1q4/05f3570c/index.m3u8
Disney XD,https://no1x2.asiaw.top/live/t6u5b1q4/c18722e6/index.m3u8
CNBC,https://no1x2.asiaw.top/live/cjz1uzv2/16863fa2a6/index.m3u8
CNN,https://no1x2.asiaw.top/live/cjz1uzv2/bcb2156a0c/index.m3u8
ABC NEWS,https://no1x2.asiaw.top/live/cjz1uzv2/25b05bc679/index.m3u8
ABC EAST,https://no1x2.asiaw.top/live/cjz1uzv2/93eb6a95e8/index.m3u8
BBC WORLD NEWS,https://no1x2.asiaw.top/live/cjz1uzv2/bfa535e22c/index.m3u8
BEIN SPORTS (CA),https://no1x2.asiaw.top/live/cjz1uzv2/03c666d31a/index.m3u8
BNN BLOOMBERG,https://no1x2.asiaw.top/live/cjz1uzv2/e9227ed2a3/index.m3u8
BRAVO,https://no1x2.asiaw.top/live/cjz1uzv2/b647856887/index.m3u8
CARTOON NETWORK,https://no1x2.asiaw.top/live/cjz1uzv2/0c8f03284c/index.m3u8
CBC TORONTO,https://no1x2.asiaw.top/live/cjz1uzv2/4508411952/index.m3u8
CBC VANCOUVER,https://no1x2.asiaw.top/live/cjz1uzv2/fb4566ab9b/index.m3u8
CBC CALGARY,https://no1x2.asiaw.top/live/cjz1uzv2/c3a6a0e961/index.m3u8
CBC MONTREAL,https://no1x2.asiaw.top/live/cjz1uzv2/5179081f81/index.m3u8
CBC WINDSOR,https://no1x2.asiaw.top/live/cjz1uzv2/5fdf0fd2fe/index.m3u8
CBC WINNIPEG,https://no1x2.asiaw.top/live/cjz1uzv2/d111325104/index.m3u8
CITY TORONTO,https://no1x2.asiaw.top/live/cjz1uzv2/9c52d8f612/index.m3u8
CITY VANCOUVER,https://no1x2.asiaw.top/live/cjz1uzv2/9928a436be/index.m3u8
CMT CANADA,https://no1x2.asiaw.top/live/cjz1uzv2/e5559b8402/index.m3u8
COOKING CHANNEL,https://no1x2.asiaw.top/live/cjz1uzv2/dd35758f42/index.m3u8
CRAVE 1 HD,https://no1x2.asiaw.top/live/cjz1uzv2/b58a06aea5/index.m3u8
CRAVE 2 HD,https://no1x2.asiaw.top/live/cjz1uzv2/d6ccadd0a3/index.m3u8
CRAVE 3 HD,https://no1x2.asiaw.top/live/cjz1uzv2/3d97bf2134/index.m3u8
CRIME & INVESTIGATION,https://no1x2.asiaw.top/live/cjz1uzv2/a235abe371/index.m3u8
CTV TORONTO,https://no1x2.asiaw.top/live/cjz1uzv2/4648304dc4/index.m3u8
CTV VANCOUVER,https://no1x2.asiaw.top/live/cjz1uzv2/812be4af01/index.m3u8
CTV CALGARY,https://no1x2.asiaw.top/live/cjz1uzv2/3a2cf89845/index.m3u8
CTV DRAMA,https://no1x2.asiaw.top/live/cjz1uzv2/848830c621/index.m3u8
CTV MONTREAL,https://no1x2.asiaw.top/live/cjz1uzv2/3518032bd1/index.m3u8
CTV OTTAWA,https://no1x2.asiaw.top/live/cjz1uzv2/42060de1ea/index.m3u8
CTV 2 VANCOUVER,https://no1x2.asiaw.top/live/cjz1uzv2/7c00e0aeef/index.m3u8
DISCOVERY SCIENCE,https://no1x2.asiaw.top/live/cjz1uzv2/eff05c6488/index.m3u8
DIY,https://no1x2.asiaw.top/live/cjz1uzv2/4199150e3a/index.m3u8
DTOUR HD,https://no1x2.asiaw.top/live/cjz1uzv2/d9af6b0a54/index.m3u8
E! CANADA,https://no1x2.asiaw.top/live/cjz1uzv2/e8dc036490/index.m3u8
FAMILY EAST,https://no1x2.asiaw.top/live/cjz1uzv2/6bfa7a3804/index.m3u8
