🔞CR18,#genre#
奥视3,http://203.75.191.130:8203/VideoInput/play.ts
日本A,http://203.75.191.130:8201/VideoInput/play.ts
日本B,http://203.75.191.130:8205/VideoInput/play.ts
惊艳,http://125.227.210.55:8156/VideoInput/play.ts
香蕉,http://125.227.210.55:8159/VideoInput/play.ts
奥视,http://125.227.210.55:55643/VideoInput/play.ts
奥视3,http://125.227.210.55:8917/VideoInput/play.ts
--------ModCR--------,mitv://generationnexxxt.com:19806
JStar極限台電影頻道,http://220.134.74.149:2398/udp/230.1.2.152:11111
JStar極限台電影頻道,http://220.134.74.149:2398/udp/230.1.2.32:11111
K頻道,http://220.134.74.149:2398/udp/224.1.4.175:11111
K頻道,http://220.134.74.149:2398/udp/224.1.4.65:11111
松視1台,http://220.134.74.149:2398/udp/230.1.2.142:11111
松視1台,http://220.134.74.149:2398/udp/224.1.4.68:11111
松視2台,http://220.134.74.149:2398/udp/224.1.4.149:11111
松視2台,http://220.134.74.149:2398/udp/224.1.4.69:11111
松視3台,http://220.134.74.149:2398/udp/224.1.4.253:11111
松視3台,http://220.134.74.149:2398/udp/224.1.4.70:11111
香蕉台,http://220.134.74.149:2398/udp/224.1.4.205:11111
香蕉台,http://220.134.74.149:2398/udp/230.1.2.94:11111
HAPPY,http://220.134.74.149:2398/udp/224.1.4.186:11111
HAPPY,http://220.134.74.149:2398/udp/224.1.4.72:11111
彩虹E台,http://220.134.74.149:2398/udp/224.1.4.141:11111
彩虹E台,http://220.134.74.149:2398/udp/224.1.4.63:11111
彩虹 MOVIE,http://220.134.74.149:2398/udp/224.1.4.164:11111
彩虹 MOVIE,http://220.134.74.149:2398/udp/224.1.4.64:11111
潘朵啦高畫質玩美台,http://220.134.74.149:2398/udp/230.1.2.219:11111
潘朵啦高畫質玩美台,http://220.134.74.149:2398/udp/230.1.2.39:11111
驚豔成人電影台,http://220.134.74.149:2398/udp/224.1.4.204:11111
驚豔成人電影台,http://220.134.74.149:2398/udp/230.1.2.27:11111
--------安博CR--------,mitv://generationnexxxt.com:19806
松视1,http://z88.ubtvfans.com/live/rx3/402/733039a795cd903623dd9c87385ee32b/index.m3u8
松视2,http://z88.ubtvfans.com/live/rx3/403/9b7b6ffe613ab14cdcc993d8c28aa042/index.m3u8
松视3,http://z88.ubtvfans.com/live/rx3/404/48745975c4b72ccc24ebd4d91afd641a/index.m3u8
潘朵拉完美,http://z88.ubtvfans.com/live/rx3/410/415bdc67f1b4040b4983963911f2485b/index.m3u8
HAPPY,http://z88.ubtvfans.com/live/rx3/2908/0f506ec82f9fff8c676e40317aa8886c/index.m3u8
JStar,http://z88.ubtvfans.com/live/rx3/2909/164b8735a2a0243396aa17baccd2b100/index.m3u8
彩虹E,http://z88.ubtvfans.com/live/rx3/406/6a7f30cbbe921e9a6809d4a8c131aef1/index.m3u8
彩虹K,http://z88.ubtvfans.com/live/rx3/415/24833f79298189b7d1b60e9d59af0018/index.m3u8
极限电影,http://z88.ubtvfans.com/live/rx3/405/f72f337b1279855143cddce063a60cd6/index.m3u8
奥视频道2,http://z88.ubtvfans.com/live/rx3/2916/c6b2bbeb82e1e0b752e980e4fb91cd87/index.m3u8
苍井空,http://z88.ubtvfans.com/live/rx4/3154/83ca5f886d657cc8b660677938773213/index.m3u8
金丝雀,http://z88.ubtvfans.com/live/rx4/3155/dc67eb59d50bbd63e221f7ded1bdca85/index.m3u8
波多野结衣,http://z88.ubtvfans.com/live/rx4/3158/3fa04142ab22b5a272ba5115bd56d477/index.m3u8
上原亚衣,http://z88.ubtvfans.com/live/rx4/3162/d56054ff3aed682703e25437999f5236/index.m3u8
Brazzers TV,http://z88.ubtvfans.com/live/rx4/3076/aaf322a185d653c53b1bfaef17708a93/index.m3u8
Erox,http://z88.ubtvfans.com/live/rx4/3079/e4cead65e532c6dd651bf698a898972b/index.m3u8
Hustler XXX TV,http://z88.ubtvfans.com/live/rx4/3087/6ca2c1a74e00affd8a2cbd72ca83b146/index.m3u8
BABES,http://z88.ubtvfans.com/live/rx4/3088/61896c954eec6e77aad3763fc80ed30d/index.m3u8
BABES UNLEASHED,http://z88.ubtvfans.com/live/rx4/3089/7ac3f3f48aa084841d97ee95f69943c9/index.m3u8
BABES Perv City,http://z88.ubtvfans.com/live/rx4/3090/61b40c4d9912a5e88d9093c259c9c6c2/index.m3u8
BRATTY SIS,http://z88.ubtvfans.com/live/rx4/3091/673eba99e9adae6abdd859d2b693ad9b/index.m3u8
BRAZZERS EN ESPANOL,http://z88.ubtvfans.com/live/rx4/3092/b50bc6f4137ee58a03dddc0cd7867a2f/index.m3u8
BUSTY LOVER,http://z88.ubtvfans.com/live/rx4/3093/295168419f66238022939a5f2a883497/index.m3u8
CUM 4K,http://z88.ubtvfans.com/live/rx4/3094/3e3c40c5a2477f2af2e65e35ebc225f7/index.m3u8
Blue Hustler,http://z88.ubtvfans.com/live/rx4/3077/feef88223f7dfe080c91b351aaddd270/index.m3u8
Redlight HD,http://z88.ubtvfans.com/live/rx3/452/6b6f7f681d37860d87036d2099e3f99d/index.m3u8
EXXXTRA SMALL,http://z88.ubtvfans.com/live/rx4/3099/a36a7aae4d36a61a76ae8fb4ddecd7fe/index.m3u8
DAUGHTER SWAP,http://z88.ubtvfans.com/live/rx4/3095/ff9a906e7146219f268c4aad8af84ec5/index.m3u8
DEEPER,DEEPER,http://z88.ubtvfans.com/live/rx4/3096/1673bbac43023b67969a8b4743e6bdc4/index.m3u8
DIGITAL PLAYGROUND,http://z88.ubtvfans.com/live/rx4/3097/6a87dfae87872c7a971bb185d9768587/index.m3u8
EROTIC SPICE,http://z88.ubtvfans.com/live/rx4/3098/e484c97ecdfe5ca263af1d82f2d7d199/index.m3u8
FAKE AGENT,http://z88.ubtvfans.com/live/rx4/3100/7b1939ca379bc61acb5ae8d4310fc1cd/index.m3u8
FAKE AGENT UK,http://z88.ubtvfans.com/live/rx4/3101/2db737509d9d65c8d1073995e74050b0/index.m3u8
FAKE COP,http://z88.ubtvfans.com/live/rx4/3102/0b12c47f4b1a423b6720807852a1421c/index.m3u8
SEX ATION HD,http://z88.ubtvfans.com/live/rx3/459/3193839f524da42b740386d2b88754ca/index.m3u8
RedlightHD,https://z88.ubtvfans.com/live/rx3/452/6b6f7f681d37860d87036d2099e3f99d/index.m3u8

----其它----,p3p://108.181.32.169
SEX Girl,http://125.227.210.55:62698/VideoInput/play.ts
笠木一香,https://fc.maa1809.com/f/pngqwnljfg/pngqwnljfg.m3u8
三原穗花加藤绫野,https://fc.maa1809.com/h/qjotnrtkkh/qjotnrtkkh.m3u8
松永纱奈1,https://fc.maa1809.com/m/roqelpimmo/roqelpimmo.m3u8
松永纱奈5,https://fc.maa1809.com/h/soknsufnkn/soknsufnkn.m3u8
松永纱奈7,https://fc.maa1809.com/f/knmpkoqmjg/knmpkoqmjg.m3u8
carib004西川,https://fc.maa1808.com/f/xuyanbincr/xuyanbincr.m3u8
carib146西川,https://fc.maa1808.com/c/nofftnyelj/nofftnyelj.m3u8
CAWD-092皆川优奈,https://siwazywcdn2.com:5278/zhongwenzimu/5JDoELrc/index.m3u8
CAWD-119间宫羽花,https://siwazywcdn2.com:5278/zhongwenzimu/GEIQT1yW/index.m3u8
CAWD-155梦流,https://siwazywcdn2.com:5278/zhongwenzimu/ZI0pAfz4/index.m3u8
CJOD-238奏音花音,https://videomy.yongaomy.com/20211007/R4AHRbjR/1500kb/hls/index.m3u8
heyzo1199希笑,https://fc.maa1808.com/d/bysmgbtdit/bysmgbtdit.m3u8
HND-842奏音花音,https://videomy.yongaomy.com/20211009/MZnz3FCC/1500kb/hls/index.m3u8
JUY-385大岛优香,https://video2.51daao.com/btt1/2021/10/20211017/V7WwMk16/2000kb/hls/index.m3u8
KNAM-005奏音花音,https://videomy.yongaomy.com/20211106/5KZCzleX/1500kb/hls/index.m3u8
mifd070永瀬,https://fc.maa1808.com/n/shnlrwlnlo/shnlrwlnlo.m3u8
pondo350西川,https://fc.maa1808.com/h/fmrcohtytf/fmrcohtytf.m3u8
pondo450西川,https://fc.maa1808.com/f/omlrqipols/omlrqipols.m3u8
SDMM-064奏音花音,https://videomy.yongaomy.com/20211112/rw3LhAQi/1500kb/hls/index.m3u8
TPPN-174奏音花音,https://videozm.whqhyg.com:8091/20210601/QQp5l88Y/1000kb/hls/index.m3u8
UMD-737奏音花音,https://video2.51daao.com/btt1/2021/10/20211019/wO9PIxFb/2000kb/hls/index.m3u8
